,nu,tauv,ratio,g,N,gamma,gSteady
77,30.0,15.0,0.5,10.0,1000.0,5.29346238897402,5.2929153430516465
78,30.0,15.0,1.0,10.0,1000.0,5.795472528660912,5.837080124012373
79,30.0,15.0,2.0,10.0,1000.0,6.475725920379913,6.638779418620961
80,30.0,15.0,3.0,10.0,1000.0,7.043180878026465,7.043305356851621
81,30.0,30.0,0.2,10.0,1000.0,5.056397830520269,5.0552266730413065
82,30.0,30.0,0.5,10.0,1000.0,5.331098790984446,5.325232066022269
83,30.0,30.0,1.0,10.0,1000.0,6.181197710142734,6.252414864185371
84,30.0,30.0,2.0,10.0,1000.0,8.1981758904253,8.197006827374132
85,30.0,30.0,3.0,10.0,1000.0,8.794048044366228,8.788382626494942
86,30.0,45.0,0.2,10.0,1000.0,4.972368456611407,4.972368456611408
87,30.0,45.0,0.5,10.0,1000.0,5.726427622039417,5.735040700352194
88,30.0,45.0,1.0,10.0,1000.0,7.071801466530955,7.065964878057578
89,30.0,45.0,2.0,10.0,1000.0,12.581682941061288,12.038530848518421
90,30.0,45.0,3.0,10.0,1000.0,11.298387936351984,11.298453580373293
91,30.0,60.0,0.2,10.0,1000.0,5.210579830638883,5.212548327470043
92,30.0,60.0,0.5,10.0,1000.0,6.105226763524242,6.099775861601789
93,30.0,60.0,1.0,10.0,1000.0,7.69778683785013,7.6977868378501295
94,30.0,60.0,2.0,10.0,1000.0,13.160607916158682,13.160607916158678
95,30.0,60.0,3.0,10.0,1000.0,13.976640734550882,13.183980762236633
96,30.0,90.0,0.2,10.0,1000.0,5.670824752992901,5.6689525160631025
97,30.0,90.0,0.5,10.0,1000.0,6.8701667140506855,6.793679076749965
98,30.0,90.0,1.0,10.0,1000.0,8.60874610524357,8.59865367207496
99,30.0,90.0,2.0,10.0,1000.0,12.621221083507688,12.621221083507686
100,30.0,90.0,3.0,10.0,1000.0,13.917226937778043,13.917226937778041
101,40.0,15.0,0.2,10.0,1000.0,4.964823396844502,4.961390038597836
102,40.0,15.0,0.5,10.0,1000.0,5.217813984235638,5.216681871545019
103,40.0,15.0,1.0,10.0,1000.0,5.81505542852474,5.813635462332546
104,40.0,15.0,2.0,10.0,1000.0,6.3468767225592995,6.345894980475643
105,40.0,15.0,3.0,10.0,1000.0,6.91680915557068,6.792912413783507
106,40.0,30.0,0.2,10.0,1000.0,4.854242729090558,4.857371371364774
107,40.0,30.0,0.5,10.0,1000.0,5.04174242111059,5.119978356412892
108,40.0,30.0,1.0,10.0,1000.0,5.949936578388973,5.948069191223085
109,40.0,30.0,2.0,10.0,1000.0,8.231024895929503,7.781704350697713
110,40.0,30.0,3.0,10.0,1000.0,8.055269824115385,8.141378350457133
111,40.0,45.0,0.2,10.0,1000.0,4.769680439665496,4.7622194828101865
112,40.0,45.0,0.5,10.0,1000.0,5.328900107230275,5.328920418525583
113,40.0,45.0,1.0,10.0,1000.0,6.651704863253675,6.690969445504615
114,40.0,45.0,2.0,10.0,1000.0,10.030515367052965,9.80977527217136
115,40.0,45.0,3.0,10.0,1000.0,9.8404511645576,9.827838250440147
116,40.0,60.0,0.2,10.0,1000.0,4.968378338951689,4.979351665178583
117,40.0,60.0,0.5,10.0,1000.0,5.926280714610507,5.879468824573496
118,40.0,60.0,1.0,10.0,1000.0,7.596400242678719,7.595998401108085
119,40.0,60.0,2.0,10.0,1000.0,12.075586340036205,12.075586340036205
120,40.0,60.0,3.0,10.0,1000.0,12.76463446677189,12.764634466771893
